,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 50445,0.015090257667541657,3.1377269885995593,0.07650035204060138,1.0,1.67725540025413,0.19642095580751406,
Cluster 50454,0.007403192542148183,0.06609939759036146,0.7971030974390365,1.0,207.2788416627744,4.426525119578719e-35,
Cluster 50460,0.007159366883401019,0.13727513105858546,0.7110050694681496,1.0,196.2946509519493,1.0106422330418762e-33,
Cluster 50471,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50472,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50481,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50484,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50485,0.0004852820871206545,0.0,1.0,1.0,196.2946509519493,1.0106422330418762e-33,
Cluster 50486,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50507,0.0036653838252591053,0.6340076585411414,0.7283279661555153,1.0,158.83860759493675,7.89459637940463e-29,
Cluster 50516,0.014460479613644356,1.1069203558419725,0.2927523758678867,1.0,176.55636519502784,3.3915687400177745e-31,
Cluster 50520,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50533,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50534,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 50535,0.007403192542148183,0.06609939759036146,0.7971030974390365,1.0,207.2788416627744,4.426525119578719e-35,
Cluster 50536,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 50537,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 50539,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 50541,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 50542,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 50551,0.014364226987678315,3.717590361445783,0.2936183661322467,1.0,0.6355702678302735,0.4260358564723674,
Cluster 50555,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 50559,0.008744891030308247,2.342583551597695,0.3099662756028145,1.0,6.7193995381062335,0.010068240173463777,
Cluster 50561,0.0035623165461911577,0.0,1.0,1.0,207.2788416627744,4.426525119578719e-35,
Cluster 50562,0.009917941387211339,1.9423109492232495,0.7463686973707626,1.0,76.49780509218613,2.6431643088564835e-16,
Cluster 50571,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50576,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50579,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50583,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50584,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50594,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50597,0.0004852820871206545,0.0,1.0,1.0,196.2946509519493,1.0106422330418762e-33,
Cluster 50598,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50609,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50610,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50613,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50624,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50628,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50645,0.0035623165461911577,0.0,1.0,1.0,207.2788416627744,4.426525119578719e-35,
Cluster 50658,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50660,0.008979610149466084,1.0903993882506773,0.2963827342961061,1.0,59.861123017573924,2.161534439267198e-13,
Cluster 50671,0.004502482169224872,0.8653012048192771,0.6487871368703305,1.0,151.14484356894556,9.05082193331624e-28,
Cluster 50678,0.0003229620409496564,0.0,1.0,1.0,151.51669316375194,8.035822668908302e-28,
Cluster 50680,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 50681,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50687,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50691,0.0274914218118405,5.283493013824337,0.02152851598089921,1.0,74.51031553398057,5.781305284047351e-16,
Cluster 50696,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50702,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50712,0.007403192542148183,0.06609939759036146,0.7971030974390365,1.0,207.27884166277448,4.4265251195786036e-35,
Cluster 50716,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50717,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50721,0.025891945325971583,5.656381806294946,0.05911971026510168,1.0,158.83860759493675,7.89459637940463e-29,
Cluster 50722,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50730,0.007403192542148183,0.06609939759036146,0.7971030974390365,1.0,207.2788416627744,4.426525119578719e-35,
Cluster 50733,0.0035623165461911577,0.0,1.0,1.0,207.2788416627744,4.426525119578719e-35,
Cluster 50743,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50746,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 50749,0.006557252564717966,1.0279514711991984,0.31064029424385936,1.0,93.92224763149298,3.3757702232792883e-19,
Cluster 50751,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50765,0.0013117211433116838,0.10816265060240966,0.7422457067289423,1.0,85.60354654844839,7.78179202519435e-18,
Cluster 50766,0.0003464964457880887,0.0,1.0,1.0,118.78114958943232,4.400667634900694e-23,
Cluster 50767,0.0003464964457880887,0.0,1.0,1.0,118.7811495894323,4.400667634900694e-23,
Cluster 50768,0.0020376188804076267,0.13749475903614466,0.7107843729749788,1.0,144.17475728155347,8.586031446568908e-27,
Cluster 50775,0.025507388285567673,6.652410704765967,0.03592918531350733,1.0,74.97163120567376,4.818856278486862e-16,
