,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 39636,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 39643,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 39650,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 39655,0.011734211972400412,5.277592403420991,0.15256301225526048,1.0,5.195876288659792,0.023109973976322293,0.0235720485708232
Cluster 39657,0.008718662692572293,1.1894065361570636,0.27544929765882586,1.0,345.52535234083916,1.380419624467282e-57,3.071486550963097e-57
Cluster 39663,0.0,0.0,1.0,1.0,136.0,1.2565211634412817e-27,1.5641256321278239e-27
Cluster 39667,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 39669,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 39681,0.014149567771507894,6.409377107007185,0.04057153553297429,0.7071245576363021,13.937811280118444,0.00021330155368699702,0.0002227422863536414
Cluster 39683,0.00027636862352498764,0.0,1.0,1.0,345.52535234083916,1.380419624467282e-57,3.071486550963097e-57
Cluster 39687,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 39688,0.0021147218681291033,0.0,1.0,1.0,356.96997690531174,5.534214484373157e-59,1.4194632204449429e-58
Cluster 39691,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 39695,0.007252802579481084,2.98868411000764,0.2243961965262356,1.0,294.3606557377048,4.405515123256726e-51,7.311535914136174e-51
Cluster 39699,0.008718662692572293,1.1894065361570638,0.2754492976588258,1.0,124.99076624007776,9.215265920821996e-26,1.0649491474653473e-25
Cluster 39703,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 39704,0.0022940569947208778,0.32497373949579844,0.5686338297133864,1.0,314.0307692307693,1.2348839744679398e-53,2.1980795000077673e-53
Cluster 39712,0.020286068564978943,8.234152925039146,0.004110935451133841,0.35575619818242216,7.672232630121366,0.005840702629634205,0.006011738582961371
Cluster 39722,0.015766479289876484,6.124578713264436,0.013331505370811493,0.42078957169576403,42.28759642888097,2.1074855259674307e-10,2.2765861215953333e-10
Cluster 39728,0.004241577096799051,0.140163969175114,0.7081180591486298,1.0,302.7699503069277,3.504070884702061e-52,5.978967451523359e-52
Cluster 39732,0.0021147218681291033,0.0,1.0,1.0,356.96997690531174,5.534214484373157e-59,1.4194632204449429e-58
Cluster 39735,0.0023832935412522183,0.7345843742902566,0.6926072445429412,1.0,313.06513525766957,1.6419797665546874e-53,2.9150082857147973e-53
Cluster 39736,0.0001779663274352264,0.0,1.0,1.0,277.67003756139843,7.308302421299075e-49,1.1644792183185888e-48
Cluster 39742,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 39748,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 39760,0.012873225308001446,3.7426614481409004,0.15391870215115291,1.0,268.5041276829939,1.2731628798118716e-47,1.9932771529901357e-47
Cluster 39762,0.0007110436091192773,0.08484797178440766,0.7708320188817847,1.0,225.93964838625033,1.220813863274067e-41,1.8112609392625383e-41
Cluster 39795,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 39797,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 39800,0.0043427963627861305,0.06383412740096041,0.8005354694348056,1.0,130.36489607390305,1.1203851206198314e-26,1.3203015016357193e-26
Cluster 39804,0.0,0.0,1.0,1.0,368.94117647058806,2.0093257878143538e-60,7.364276552426394e-60
Cluster 39812,0.0021147218681291033,0.0,1.0,1.0,130.36489607390305,1.1203851206198314e-26,1.3203015016357193e-26
Cluster 39813,0.0,0.0,1.0,1.0,136.0,1.2565211634412817e-27,1.5641256321278239e-27
Cluster 39814,2.3703475643961636e-05,0.0,1.0,1.0,110.27692307692304,3.28361727187408e-23,3.709275001892589e-23
Cluster 39815,0.0043427963627861305,0.06383412740096041,0.8005354694348056,1.0,130.36489607390305,1.1203851206198314e-26,1.3203015016357193e-26
Cluster 39816,0.0,0.0,1.0,1.0,136.0,1.2565211634412817e-27,1.5641256321278239e-27
Cluster 39818,0.004485848387957514,1.6479529564862405,0.19923777379296692,1.0,18.705154639175262,1.882293879265415e-05,1.9841559796232944e-05
Cluster 39820,0.0043427963627861305,0.06383412740096041,0.8005354694348056,1.0,130.36489607390305,1.1203851206198314e-26,1.3203015016357193e-26
Cluster 39821,0.01211735116120212,3.596090985736401,0.0579156023043777,0.8621111936081459,225.93964838625033,1.220813863274067e-41,1.8112609392625383e-41
Cluster 39826,0.008486579766391718,2.258701776165012,0.13286540224143134,1.0,314.0307692307693,1.2348839744679398e-53,2.1980795000077673e-53
Cluster 39835,0.0026863923294066505,0.7424301242236022,0.3888835330217245,1.0,213.36336874440042,8.460575656403546e-40,1.2397590677325031e-39
Cluster 39836,0.03306349796805,8.111682172869147,0.004398089470522716,0.35575619818242216,232.55813953488376,1.3547177276226422e-42,2.0221666357356563e-42
