genome_id,SIR
485.4363,0
485.4364,0
485.4365,0
485.4366,0
485.4376,0
485.4368,0
485.4369,0
485.4371,0
485.4372,0
485.4373,0
485.4374,0
485.4375,0
485.4367,0
485.4379,0
485.438,0
485.4381,0
485.4382,0
485.4383,0
485.4384,0
485.4385,0
485.4386,0
485.4389,0
485.439,0
485.4392,0
485.4393,0
485.4395,0
485.4396,0
485.4398,0
485.4378,0
485.4362,0
485.436,0
485.4358,0
485.4318,0
485.4319,0
485.432,0
485.4321,0
485.4323,0
485.4324,0
485.4325,0
485.4326,0
485.4328,0
485.4329,0
485.433,0
485.433,0
485.4331,0
485.436,0
485.4336,0
485.4338,0
485.4339,0
485.4314,0
485.4342,0
485.4344,0
485.4347,0
485.4348,0
485.4349,0
485.435,0
485.435,0
485.4351,0
485.4355,0
485.4357,0
485.4337,0
485.4765,0
485.4312,0
485.4311,0
485.4181,0
485.4183,0
485.4184,0
485.4185,0
485.4186,0
485.4187,0
485.4189,0
485.4192,0
485.4193,0
485.4194,0
485.4195,0
485.4196,0
485.4197,0
485.4198,0
485.4179,0
485.4199,0
485.42,0
485.4201,0
485.4202,0
485.4204,0
485.4205,0
485.4206,0
485.4208,0
485.4209,0
485.421,0
485.421,0
485.4211,0
485.4212,0
485.4214,0
485.4215,0
485.42,0
485.4216,0
485.4176,0
485.4174,0
485.4131,0
485.4132,0
485.4133,0
485.4134,0
485.4135,0
485.4136,0
485.4141,0
485.4142,0
485.4143,0
485.4144,0
485.4148,0
485.415,0
485.4152,0
485.4153,0
485.4175,0
485.4154,0
485.4157,0
485.4159,0
485.416,0
485.4162,0
485.4163,0
485.4164,0
485.4165,0
485.4166,0
485.4167,0
485.4168,0
485.417,0
485.4171,0
485.4172,0
485.4173,0
485.4155,0
485.4399,0
485.4217,0
485.4219,0
485.4274,0
485.4276,0
485.4277,0
485.4278,0
485.428,0
485.428,0
485.4281,0
485.4283,0
485.4285,0
485.4286,0
485.4287,0
485.4289,0
485.429,0
485.4292,0
485.4273,0
485.4293,0
485.4295,0
485.4297,0
485.4298,0
485.4299,0
485.43,0
485.43,0
485.4302,0
485.4303,0
485.4305,0
485.4306,0
485.4307,0
485.4309,0
485.431,0
485.431,0
485.4294,0
485.4218,0
485.4272,0
485.427,0
485.422,0
485.422,0
485.4221,0
485.4222,0
485.4225,0
485.4226,0
485.4227,0
485.4228,0
485.4231,0
485.4235,0
485.4236,0
485.4238,0
485.424,0
485.4242,0
485.427,0
485.4244,0
485.4247,0
485.4248,0
485.425,0
485.425,0
485.4251,0
485.4252,0
485.4254,0
485.4255,0
485.4256,0
485.4258,0
485.426,0
485.4266,0
485.4267,0
485.4269,0
485.4246,0
485.4402,0
485.4445,0
485.4405,0
485.4601,0
485.4603,0
485.4604,0
485.4605,0
485.4606,0
