genome_id,SIR
287.12481,0
287.7853,1
287.1274,0
287.12739,0
287.12738,0
287.12737,0
287.12736,0
287.12735,0
287.12734,1
287.12733,1
287.12732,0
287.12731,0
287.1273,1
287.12729,1
287.12728,1
287.12727,1
287.12726,0
287.12725,1
287.12724,1
287.12723,1
287.12722,0
287.12741,0
287.12742,0
287.12743,1
287.12744,0
287.12767,1
287.12766,1
287.12765,1
287.12764,1
287.1276,0
287.12759,1
287.12758,0
287.12757,0
287.12756,0
287.12721,0
287.12755,0
287.12753,0
287.12752,0
287.12751,0
287.1275,0
287.12749,0
287.12748,0
287.12747,0
287.12746,0
287.12745,0
287.12754,0
287.12768,1
287.1272,0
287.12718,1
287.12693,0
287.12692,0
287.12691,0
287.1269,0
287.12689,0
287.12688,0
287.12687,0
287.12686,0
287.12685,1
287.12684,1
287.12683,0
287.12682,0
287.12681,0
287.1268,0
287.12679,0
287.12678,0
287.12676,1
287.12675,0
287.12674,0
287.12694,0
287.12695,0
287.12696,0
287.12697,0
287.12717,0
287.12716,0
287.12715,1
287.12714,1
287.12713,1
287.12712,0
287.12711,0
287.1271,1
287.12709,1
287.12719,0
287.12708,0
287.12706,1
287.12705,1
287.12704,1
287.12703,0
287.12702,1
287.12701,0
287.127,0
287.12699,0
287.12698,0
287.12707,1
287.12673,1
287.12769,1
287.12771,1
287.12837,1
287.12836,1
287.12835,0
287.12834,1
287.12833,0
287.12832,0
287.12831,1
287.1283,0
287.12829,0
287.12828,1
287.12827,0
287.12826,0
287.12825,0
287.12824,1
287.12823,1
287.12822,1
287.12821,0
287.1282,0
287.12819,0
287.12838,0
287.12839,0
287.1284,0
287.12841,0
287.12818,0
287.1277,1
287.12817,0
287.12815,0
287.1279,0
287.12789,0
287.12788,0
287.12787,0
287.12786,1
287.12785,1
287.12784,1
287.12783,1
287.12782,0
287.12781,0
287.1278,0
287.12779,1
287.12778,1
287.12777,1
287.12776,0
287.12775,0
287.12774,0
287.12773,0
287.12772,1
287.12791,1
287.12792,0
287.12793,0
287.12794,0
287.12814,1
287.12813,0
287.12812,0
287.12811,1
287.1281,0
287.12809,0
287.12808,0
287.12807,0
287.12806,0
287.12816,0
287.12805,1
287.12803,1
287.12802,0
287.12801,1
287.128,0
287.12799,0
287.12798,1
287.12797,0
287.12796,1
287.12795,1
287.12804,0
287.12672,1
287.12671,0
287.1267,0
287.1255,1
287.12549,1
287.12548,1
