genome_id,SIR
562.58782,1
562.58783,0
562.58784,1
562.58785,0
562.58786,0
562.58787,0
562.58781,1
562.58788,0
562.5879,0
562.58791,1
562.58792,0
562.58789,0
562.5878,0
562.58779,0
562.58778,0
562.58769,0
562.5877,1
562.58771,1
562.58772,1
562.58773,1
562.58774,0
562.58775,1
562.58776,0
562.58777,1
562.58651,0
562.5865,1
562.58649,1
562.58623,1
562.58625,1
562.58626,0
562.58627,0
562.58628,0
562.5863,0
562.58631,0
562.58633,0
562.58634,1
562.58635,0
562.5864,0
562.58646,0
562.58647,0
562.58648,0
562.19185,0
562.19186,0
562.19189,1
562.19184,0
562.16466,1
562.45677,1
562.45676,1
562.45675,1
562.45674,1
562.45673,0
562.45671,0
562.4567,1
562.45669,0
562.45668,0
562.45667,1
562.45666,0
562.45665,0
562.45672,0
562.6578,1
562.65781,1
562.65783,1
562.65785,1
562.65787,1
562.65786,1
562.65788,1
562.65789,0
562.6579,0
562.65791,1
562.45664,0
562.45663,1
562.45662,1
562.3031,0
562.30309,0
562.30307,1
562.30306,1
562.30304,1
562.29002,1
562.29001,1
562.29,1
562.31449,0
562.3145,0
562.31451,0
562.37108,0
562.37106,0
562.31466,1
562.31465,0
562.31464,0
562.31463,0
562.31462,0
562.3146,0
562.31458,0
562.31454,0
562.31452,0
562.28999,1
562.28998,1
562.28981,0
562.28846,0
562.28845,0
562.28841,0
562.2884,0
562.28839,1
562.28838,0
562.28811,0
562.2881,0
562.28982,0
562.37109,0
562.30308,1
562.45638,0
562.45637,1
562.45636,0
562.45635,1
562.45634,1
562.45633,1
562.45632,1
562.45631,1
562.4563,1
562.45629,0
562.45628,0
562.45627,0
562.45626,0
562.45625,1
562.45624,0
562.45623,0
562.45622,1
562.45621,0
562.4562,1
562.45639,1
562.45619,1
562.4564,0
562.45642,1
562.45661,0
562.4566,0
562.45659,1
562.45658,1
562.45657,1
562.45656,1
562.45655,0
562.45654,1
562.45653,1
562.45652,0
562.45651,0
562.4565,0
562.45649,1
562.45648,0
562.45647,0
562.45646,0
562.45645,1
562.45644,1
562.45643,1
562.45641,0
562.45618,0
562.45617,0
562.45616,0
562.45591,1
562.4559,1
562.45589,0
562.45588,0
562.45587,0
562.45585,0
562.45404,0
562.45403,0
562.45401,1
562.454,1
562.45399,1
562.45398,0
562.45397,0
562.45395,1
562.45592,1
562.45593,1
562.45594,1
562.45595,1
562.45615,1
562.45614,1
562.45613,0
562.45612,0
562.45611,0
562.4561,0
562.45609,1
562.45608,1
562.45607,1
562.45606,1
562.45604,0
562.45603,1
562.45602,1
562.45601,0
562.456,0
562.45599,1
562.45598,1
562.45597,1
562.45596,1
562.45605,1
562.42666,1
562.42657,1
562.42655,1
562.42755,0
