,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 40718,0.016054307099498354,2.425744886833596,0.11935649407825558,1.0,51.66703662597115,6.748637140276547e-12,
Cluster 40721,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 40723,0.00667965111862498,0.031061047538320282,0.8601042606004268,1.0,87.04477611940295,4.4934927014583094e-18,
Cluster 40724,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 40733,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 40735,0.0,0.0,1.0,1.0,187.20000000000007,1.427196542581219e-32,
Cluster 40739,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 40741,0.004032400549155941,0.0,1.0,1.0,87.04477611940295,4.4934927014583094e-18,
Cluster 40743,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 40744,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 40746,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 40749,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
